year     character     pin1yin1     POS     lesson     definition     notes
1     你     ni3     pronoun     1     you     informal
1     好     hao3     adjective     1     good     Hello: 你好，大家好，您好
1     是     shi4     verb     1     to be     also 'yes' in affirmative answers
1     学习     xue2xi2     VO     1     to study     学习 or 学... (subject)
1     吗     ma5     particle     1     (yes/no interrogative particle)     ...
1     我     wo3     pronoun     1     I     ...
1     呢     ne     particle     1     (what about... interrogative particle)     你呢？
1     也     ye3     adverb     1     also     ...
1     他     ta1     pronoun     1     he     ...
1     不     bu4     adverb     1     no/not     ...
1     老师     lao3shi1     noun     1     teacher     old + certified
1     中文     zhong1wen2     noun     1     Chinese language     ...
1     她     ta1     pronoun     1     she     ...
1     教授     jiao4shou4     noun     1     professor     ...
1     您     nin2     pronoun     2     you     formal
1     贵     gui4     adjective     2     expensive, noble, honored     ...
1     姓     xing4     noun     2     surname     also verb: to be surnamed
1     姓     xing4     verb     2     to be surnamed     also noun: surname
1     请     qing3     adverb     2     please     also verb: to invite
1     问     wen4     verb     2     to ask     'May I ask...' = 请问
1     的     de5     particle     2     (possessive particle)     structural
1     英文     ying1wen2     noun     2     English language     ...
1     名字     ming2zi5     noun     2     name     ...
1     叫     jiao4     verb     2     to call     ...
1     什么     shen2me5     pronoun     2     what     ...
1     每     mei3     adjective     10     each     i.e. 每天 (mei3tian1) = everyday
1     床     chuang2     noun     10     bed     ...     
1     星期     xing1qi1     noun     10     week     星期几 = day of the week 1-6, Sunday = 星期日 or 星期天 (colloquially)
1     睡觉     shui4jiao4     verb     10     to sleep     ...
1     才     cai2     adverb     10     just now or only     ...
1     就     jiu4     adverb     10     just (emphasis)     as early as, already, at once, right away, only
1     刻     ke4     noun     10     quarter (15 minutes)     It\'s 9:15 =（现在是）九点一刻 (also can be used as a verb for to carve)
1     时刻     shi2ke4     noun     10     moment     also adverb: constantly, always
1     时刻     shi2ke4     adverb     10     constantly, always      also noun: moment
1     分     fen1     verb     10     to divide, separate, distribute     also noun: fraction
1     分钟     fen1zhong1     noun     10     minute     It\'s 8:37 =（现在）八点三十七分。
1     百分     bai3fen1     noun     10     percentage, divided into 100 parts
1     然后     ran2hou4     adverb     10     after, then, afterwards     ...
1     以后     yi3hou4     adverb     10     but, before     A 以后 B = A, but before that, B
1     早上     zao3shang4     noun     10     morning     ...
1     上午     shang4wu3     noun     10     moring     ...
1     中午     zhong1wu3     noun     10     noon     ...
1     下午     xia4wu3     noun     10     afternoon     ...
1     晚上     wan3shang4     noun     10     evening     ...
1     喜欢     xi3huan1     verb     10     to like     ...
1     邮件     you2jian4     noun     10     mail     ...
1     写     xie3     verb     10     to write     ...
1     祝     zhu4     verb     10     to wish     ...
1     地址     di4zhi3     noun     10     address     land + location
1     年     nian2     noun     10     year     ...
1     月     yue4     noun     10     month     ...
1     茶     cha2     noun     11     tea     红茶: hong2cha2 red tea, 绿茶: lü4cha2 green tea
1     红     hong2     adjective     11     red     ...
1     店员     dian4yuan2     noun     11     store clerk     ...
1     服务员     fu2wu4yuan2     noun     11     waiter     gender neutral
